Pipeline,hpso,Baseline,Visibility read rate,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
RCAL_data,hpso13,35000.0,0.037020108883100616,0.0,0.08209816350539809,1348.021690191815,269.604338038363,0.0,385.62613419896473,882.99578863323,2.9493105474242243,385.62613419896473,0.0,0.40632063451438716,385.62613419896473,0.0,385.62613419896473,385.62613419896473,385.62613419896473,385.62613419896473,0.0,0.0,0.0,0.016419632701079614,882.99578863323,0.40632063451438716
FastImg,hpso13,35000.0,0.011496832164474594,0.0,0.0012844209856052518,0.0,0.0,0.0,0.0,2.7217152459782768e-05,6.330681563401834e-07,0.0,0.0,2.3246675282548724e-05,9.580693470395493e-07,0.0,3.832277388158197e-06,0.018885159239865175,0.0,0.00013365067391201714,0.0,0.0,0.0,0.0012844209856052518,2.7217152459782768e-05,2.3246675282548724e-05
FastImg_data,hpso13,35000.0,0.011496832164474594,0.0,0.01520336361211075,0.0,0.0,0.0,239.51733675988734,4835.571466293364,19.78337988563073,239.51733675988734,0.0,1.4688790157591998,239.51733675988734,0.0,239.51733675988734,239.51733675988734,0.0,239.51733675988734,0.0,0.0,0.0,0.01520336361211075,4835.571466293364,1.4688790157591998
ICAL,hpso13,35000.0,0.18510054441550305,0.0,0.030210623830983996,0.004044065070575445,0.000808813014115089,2.098176125e-05,0.009717778581813913,0.010809998335185861,4.247007188290883e-05,0.009717778581813913,0.00013134663620159245,0.018936111422793216,2.7765081662325457e-05,1.875e-12,0.0004442413065972073,0.2736482437942103,0.0007409784136940122,0.003873228891894402,0.0,0.0,0.0,0.006042124766196798,0.010809998335185861,0.018936111422793216
ICAL_data,hpso13,35000.0,0.18510054441550305,0.0,0.08209816350539807,1348.021690191815,269.604338038363,269.604338038363,385.62613419896473,882.9957886309301,2.9493105474242243,385.62613419896473,269.604338038363,0.4063206345136856,385.62613419896473,9e-06,385.62613419896473,385.62613419896473,385.62613419896473,385.62613419896473,0.0,0.0,0.0,0.016419632701079614,882.9957886309301,0.4063206345136856
DPrepA,hpso13,35000.0,0.04113430096846212,0.0,0.003614069512036861,0.0002354226774391283,0.0002354226774391283,1.2822187430555555e-06,0.0,0.004147011173877579,2.8577600963559364e-06,0.0,6.656325670943537e-07,0.0008747782950572238,6.2844070924039325e-06,0.0,0.00010055051347846292,0.12387624031069973,0.0,0.0008766747893903488,0.0,0.0,0.0,0.003614069512036861,0.004147011173877579,0.0008747782950572238
DPrepA_data,hpso13,35000.0,0.04113430096846212,0.0,0.025338939353517918,642.061847561259,642.061847561259,642.061847561259,142.82743391827123,2634.8309937112886,8.11863663737482,28.565486783654244,642.061847561259,0.8106874009523632,142.82743391827123,0.0,142.82743391827123,142.82743391827123,0.0,142.82743391827123,0.0,0.0,0.0,0.025338939353517918,2634.8309937112886,0.8106874009523632
DPrepB,hpso13,35000.0,0.04113430096846212,0.0,0.002214810736588568,0.00018833814195130265,0.00018833814195130265,0.00020515499888888887,0.0,0.0010107134981918455,2.8577600963559364e-06,0.0,0.00010650121073509657,0.0011670597484357604,6.2844070924039325e-06,0.0,0.00010055051347846292,0.12387624031069973,0.0,0.0008766747893903488,0.0,0.0,0.0,0.002214810736588568,0.0010107134981918455,0.0011670597484357604
DPrepB_data,hpso13,35000.0,0.04113430096846212,0.0,0.025338939353517918,642.0618475612589,642.0618475612589,642.0618475612589,142.82743391827123,3210.8175492425707,8.11863663737482,142.82743391827123,642.0618475612589,0.9879075129070374,142.82743391827123,0.0,142.82743391827123,142.82743391827123,0.0,142.82743391827123,0.0,0.0,0.0,0.025338939353517918,3210.8175492425707,0.9879075129070374
DPrepC,hpso13,35000.0,0.136608419469083,0.0,0.001521722816850488,0.0002354226774391283,0.003766762839026053,0.004103099977777778,0.0,0.007609079566921313,1.3558466464297938e-05,0.0,0.0021300242147019315,0.008485098345300868,2.087073075222101e-05,0.0,0.0003339316920355362,0.41139722810876495,0.0,0.002911466939934831,0.0,0.0,0.0,0.024347565069607807,0.007609079566921313,0.008485098345300868
DPrepC_data,hpso13,35000.0,0.136608419469083,0.0,0.0015836837095948699,40.12886547257869,642.061847561259,642.061847561259,474.3347898232048,36859.68163976169,38.51837063721005,474.3347898232048,642.061847561259,2.78805887039874,474.3347898232048,0.0,474.3347898232048,474.3347898232048,0.0,474.3347898232048,0.0,0.0,0.0,0.025338939353517918,36859.68163976169,2.78805887039874
Ingest,hpso14,25000.0,0.10969222324686184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025733289419427987,7.405263142281436e-05,3.704394881747814e-05,0.15033414857608937,0.0,0.0,0.0
Ingest_data,hpso14,25000.0,0.10969222324686184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso14,25000.0,0.022464286754432287,0.0,0.0012993082501308996,0.0002477117184551815,4.954234369103629e-05,0.0,0.0006552083636709417,0.0006855657079461482,3.2601592400435046e-06,0.0006552083636709417,0.0,0.0015866158206014832,1.8720238962026904e-06,0.0,2.9952382339243047e-05,0.019510328540007105,3.773853104405381e-05,0.00026114733352027535,0.0,0.0,0.0,0.0002598616500261799,0.0006855657079461482,0.0015866158206014832
