,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s],SinglePulse [Pflop/s]
10,hpso37a,15000.0,140.0,36000000.0,3.8,0.005483426550945947,0.011714729162481813,0.006192736087970953,0.06936688815558453,0.04091938015926075,0.04862150636179474,0.0,0.0,0.023390891801398715,0.15890777467664002,0.18229866647803875,0.003978223229112601,8192.0,,,
11,hpso37b,15000.0,140.0,7200000.0,8.0,0.005483426550945947,0.011714729162481813,0.006192736087970953,0.10536711065965594,0.04091511688675103,0.046137328587452,0.0,0.0,0.023390891801398715,0.19241955613385897,0.2158104479352577,0.003978223229112601,8192.0,,,
12,hpso37c,15000.0,140.0,7200000.0,8.0,0.005483426550945947,0.011714729162481813,0.006192736087970953,0.10536711065965594,0.04091511688675103,0.046137328587452,0.0,0.0,0.023390891801398715,0.19241955613385897,0.2158104479352577,0.003978223229112601,8192.0,,,
13,hpso38a,15000.0,140.0,3600000.0,8.0,0.005376737498192262,0.009119086787195784,0.005125289203896395,0.0514259162076984,0.03254495403852613,0.036895592922598926,0.0,0.0,0.019621113489284442,0.12086646316882346,0.1404875766581079,0.0039007721196716405,8192.0,,,
14,hpso38b,15000.0,140.0,3600000.0,8.0,0.005376737498192262,0.009119086787195784,0.005125289203896395,0.08216154812385913,0.03254495403852613,0.036895592922598926,0.0,0.0,0.019621113489284442,0.15160209508498418,0.17122320857426862,0.0039007721196716405,8192.0,,,
0,hpso04b,75000.0,197.0,2880000.0,0.16666666666666666,0.13478597199525075,0.23815706903046718,0.16482544795359738,0.0,0.0,0.0,0.0,0.0,0.5377684889793153,0.0005008800000000369,0.5382693689793153,0.09784188316668747,16384.0,0.00050088,,
1,hpso04c,75000.0,197.0,8640000.0,0.16666666666666666,0.13650627663062564,0.20735379400202952,0.10067883302224495,0.0,0.0,0.0,0.0,0.0,0.4445389036549001,0.0005008799999999813,0.4450397836549001,0.09909074267401734,16384.0,0.00050088,,
2,hpso05b,75000.0,197.0,5760000.0,0.25,0.13585431030215406,0.2508798739122226,0.16745425026854385,0.0,0.0,0.0,0.0,0.0,0.5541884344829205,2.755000000354002e-07,0.5541887099829206,0.09861744606652824,16384.0,,2.755e-07,
3,hpso13,35000.0,197.0,18000000.0,8.0,0.05551496673964766,0.04429192629100353,0.021694002955363896,0.3989626593207251,0.14260711894888906,0.13433610824071623,0.48297000935779943,0.0,0.12150089598601507,1.1588758958681298,1.2803767918541449,0.04029562338339735,16384.0,,,
4,hpso14,25000.0,197.0,7200000.0,8.0,0.038260136840229844,0.027555502716787368,0.013671169517356207,0.14887923234478867,0.08903299777714171,0.08626238145668516,0.3067615454102791,0.0,0.07948680907437343,0.6309361569888947,0.7104229660632682,0.027769736783555387,16384.0,,,
5,hpso15,15000.0,197.0,45360000.0,4.4,0.020754235336346332,0.008318996125257308,0.0039338080496002115,0.043449850448698,0.025356101560176533,0.02526929126044593,0.09447669852232529,0.0,0.03300703951120385,0.18855194179164578,0.22155898130284962,0.015061694156635042,16384.0,,,
6,hpso18,75000.0,197.0,36000000.0,0.016666666666666666,0.13478597199525075,0.23815706903046718,0.16482544795359738,0.0,0.0,0.0,0.0,0.0,0.5377684889793153,4.000000000004e-06,0.5377724889793153,0.09784188316668747,16384.0,,,4e-06
7,hpso22,75000.0,197.0,21600000.0,8.0,0.13566404609053254,0.19269520917566652,0.1670226248427216,1.7354414266821137,1.3674445304786307,1.3965726155588793,0.0,0.0,0.4953818801089206,4.4994585727196235,4.994840452828544,0.09847932328019027,16384.0,,,
8,hpso27and33,30000.0,197.0,36000000.0,0.12333333333333334,0.048218912565884474,0.07927722747382,0.04604499902337181,0.25617671242387474,0.3094380881949712,0.4702941961417886,0.0,0.0,0.17354113906307628,1.0359089967606345,1.2094501358237109,0.034999184684868415,16384.0,,,
9,hpso32,20000.0,197.0,36000000.0,2.2,0.030192532482988813,0.0612791739030584,0.041848241549753,0.2381813772996802,0.0,0.28882002136329193,0.0,0.0,0.1333199479358002,0.527001398662972,0.6603213465987723,0.02191324426849403,16384.0,,,
