Pipeline,hpso,Baseline,Antenna stations,Channels,Visibility read rate,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso38a,150000.0,64.0,65536.0,0.04529848319999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010827296182857142,3.115768685714286e-05,1.5597129142857144e-05,0.0632510674432,0.0,0.0,0.0
Ingest_data,hpso38a,150000.0,64.0,65536.0,0.04529848319999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso38a,150000.0,64.0,65536.0,0.09059696639999998,0.0,0.014495586903849661,0.0089685797036116,0.0017937159407223201,0.0,0.00264241152,0.002814990091909319,9.441802854823559e-06,0.00264241152,0.0,0.0008177068480368457,7.549747199999999e-06,0.0,0.00012079595519999999,0.06957127995977143,0.00015102640127999997,0.0010531897344,0.0,0.0,0.0,0.002899117380769932,0.002814990091909319,0.0008177068480368457
RCAL_data,hpso38a,150000.0,64.0,65536.0,0.09059696639999998,0.0,0.36678153655026585,26905.739110834802,5381.1478221669595,0.0,943.7183999999999,6858.150249539763,5.901126784264725,943.7183999999999,0.0,0.10590607699267734,943.7183999999999,0.0,943.7183999999999,943.7183999999999,943.7183999999999,943.7183999999999,0.0,0.0,0.0,0.07335630731005316,6858.150249539763,0.10590607699267734
FastImg,hpso38a,150000.0,64.0,65536.0,0.0270754674556684,0.0,0.029621414841849693,0.0,0.0,0.0,0.0,4.105174701543996e-05,9.437852741266235e-07,0.0,0.0,7.097212959596401e-06,2.2562889546390333e-06,0.0,9.025155818556133e-06,0.041583620318659725,0.0,0.00031475230917214515,0.0,0.0,0.0,0.029621414841849693,4.105174701543996e-05,7.097212959596401e-06
FastImg_data,hpso38a,150000.0,64.0,65536.0,0.0270754674556684,0.0,0.06792250676856774,0.0,0.0,0.0,564.0722386597583,24189.24389624803,29.493289816456986,564.0722386597583,0.0,0.24858575653987525,564.0722386597583,0.0,564.0722386597583,564.0722386597583,0.0,564.0722386597583,0.0,0.0,0.0,0.06792250676856774,24189.24389624803,0.24858575653987525
ICAL,hpso38a,150000.0,64.0,65536.0,0.3763426930796997,0.0,0.057038729650348174,0.0358743188144464,0.0071748637628892805,4.19635225e-05,0.012645114487477913,0.009201817032238432,3.808262378058284e-05,0.012645114487477913,0.00017159099820983817,0.0035095742495556237,5.645140396195496e-05,1.875e-12,0.0009032224633912793,0.5202023756715083,0.0015054661927347988,0.007874970852692715,0.0,0.0,0.0,0.011407745930069638,0.009201817032238432,0.0035095742495556237
ICAL_data,hpso38a,150000.0,64.0,65536.0,0.3763426930796997,0.0,0.3056512804585548,18684.541049190833,3736.908209838167,3736.908209838167,784.0472772493744,3269.4175681425177,4.132229142858381,784.0472772493744,3736.908209838167,0.07636230995041883,784.0472772493744,9e-06,784.0472772493744,784.0472772493744,784.0472772493744,784.0472772493744,0.0,0.0,0.0,0.061130256091710966,3269.4175681425177,0.07636230995041883
DPrepA,hpso38a,150000.0,64.0,65536.0,0.1254479809074035,0.0,0.010861185389114167,0.006766418157731659,0.006766418157731659,2.564437486111111e-06,0.005366385849927815,0.010309659900253246,7.613519149025808e-06,0.001073277169985563,6.538545421749651e-06,0.0006272188830240624,1.9165663749742198e-05,0.0,0.00030665061999587517,0.3532250082090581,0.0,0.002673610093089036,0.0,0.0,0.0,0.010861185389114167,0.010309659900253246,0.0006272188830240624
DPrepA_data,hpso38a,150000.0,64.0,65536.0,0.1254479809074035,0.0,0.06792250676856773,4613.466925726131,4613.466925726131,4613.466925726131,435.58326703959534,2833.780199993721,5.4073289410694665,87.11665340791906,4613.466925726131,0.09590545522521078,435.58326703959534,0.0,435.58326703959534,435.58326703959534,0.0,435.58326703959534,0.0,0.0,0.0,0.06792250676856773,2833.780199993721,0.09590545522521078
DPrepB,hpso38a,150000.0,64.0,65536.0,0.250895961814807,0.0,0.01577756554210022,0.009397802996849527,0.04698901498424764,0.0025644374861111107,0.0,0.009109750407821846,1.2989634549257603e-05,0.0,0.0011305782776136904,0.0011098110136710181,3.8331327499484396e-05,0.0,0.0006133012399917503,0.3532250082090581,0.0,0.005347220186178072,0.0,0.0,0.0,0.0788878277105011,0.009109750407821846,0.0011098110136710181
DPrepB_data,hpso38a,150000.0,64.0,65536.0,0.250895961814807,0.0,0.02264083558952258,2563.037180958962,12815.18590479481,12815.18590479481,435.58326703959534,125594.87607170462,18.451185439286366,435.58326703959534,12815.18590479481,0.4163521335892065,435.58326703959534,0.0,435.58326703959534,435.58326703959534,0.0,435.58326703959534,0.0,0.0,0.0,0.11320417794761292,125594.87607170462,0.4163521335892065
