Pipeline,hpso,Baseline,Visibility read rate,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
DPrepB,hpso13,35000.0,0.041134300968462,0.0,0.002214810736589,0.000188338141951,0.000188338141951,0.000205154998889,0.0,0.001010713498192,2.85776009635594e-06,0.0,0.000106501210735,0.001167059748436,6.28440709240393e-06,0.0,0.000100550513478,0.1238762403107,0.0,0.00087667478939,0.0,0.0,0.0,0.002214810736589,0.001010713498192,0.001167059748436
DPrepB_data,hpso13,35000.0,0.041134300968462,0.0,0.00352,0.00352,0.00352,0.00176,0.0,0.172882814698759,0.1056,0.0,0.00176,0.007300605362457,0.00866762434788,0.0,0.00866762434788,0.00866762434788,0.0,0.00866762434788,0.0,0.0,0.0,0.00352,0.172882814698759,0.007300605362457
DPrepC,hpso13,35000.0,0.136608419469083,0.0,0.00152172281685,0.000235422677439,0.003766762839026,0.004103099977778,0.0,0.007609079566921,1.35584664642979e-05,0.0,0.002130024214702,0.008485098345301,2.0870730752221e-05,0.0,0.000333931692036,0.411397228108765,0.0,0.002911466939935,0.0,0.0,0.0,0.024347565069608,0.007609079566921,0.008485098345301
DPrepC_data,hpso13,35000.0,0.136608419469083,0.0,0.0044,0.0044,0.0704,0.0352,0.0,0.475472783982177,0.1056,0.0,0.0352,0.017106194147404,0.028785476715003,0.0,0.028785476715003,0.028785476715003,0.0,0.028785476715003,0.0,0.0,0.0,0.0704,0.475472783982177,0.017106194147404
Ingest,hpso14,25000.0,0.109692223246862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002573328941943,7.40526314228144e-05,3.70439488174781e-05,0.150334148576089,0.0,0.0,0.0
Ingest_data,hpso14,25000.0,0.109692223246862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso14,25000.0,0.022464286754432,0.0,0.001299308250131,0.000247711718455,4.95423436910363e-05,0.0,0.000655208363671,0.000685565707946,3.2601592400435e-06,0.000655208363671,0.0,0.001586615820601,1.87202389620269e-06,0.0,2.9952382339243e-05,0.019510328540007,3.77385310440538e-05,0.00026114733352,0.0,0.0,0.0,0.000259861650026,0.000685565707946,0.001586615820601
RCAL_data,hpso14,25000.0,0.022464286754432,0.0,0.02,0.02,0.004,0.0,0.08,0.402690073935064,0.4,0.08,0.0,0.025818905602132,0.015016521173938,0.0,0.015016521173938,0.015016521173938,0.015016521173938,0.015016521173938,0.0,0.0,0.0,0.004,0.402690073935064,0.025818905602132
FastImg,hpso14,25000.0,0.006976462476186,0.0,0.000686178306668,0.0,0.0,0.0,0.0,2.20902885833402e-05,5.39512763896598e-07,0.0,0.0,2.59549722998255e-05,5.8137187301549e-07,0.0,2.32548749206196e-06,0.012118174633839,0.0,8.11013762856609e-05,0.0,0.0,0.0,0.000686178306668,2.20902885833402e-05,2.59549722998255e-05
FastImg_data,hpso14,25000.0,0.006976462476186,0.0,8e-05,0.0,0.0,0.0,0.0,0.016093856881472,0.008,0.0,0.0,0.000588902233604,0.00932699957386,0.0,0.00932699957386,0.00932699957386,0.0,0.00932699957386,0.0,0.0,0.0,8e-05,0.016093856881472,0.000588902233604
