,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s]
1,hpso02a,65000.0,64.0,18000000.0,5.0,0.005009231860622223,0.01671343527717266,0.008270304771974263,0.10124340924937321,0.051289540674027904,0.07808719615864373,0.18080536791673285,0.00400149184512,0.029992971909769142,0.4154270058438977,0.4454199777536668,0.003635063466666667,16384.0,,
2,hpso02b,65000.0,64.0,18000000.0,5.0,0.005009231860622223,0.01671343527717266,0.008270304771974263,0.10124340924937321,0.051289540674027904,0.07808719615864373,0.18080536791673285,0.00400149184512,0.029992971909769142,0.4154270058438977,0.4454199777536668,0.003635063466666667,16384.0,,
3,hpso04a,65000.0,64.0,45900000.0,0.6666666666666666,0.0025046159303111115,0.006043172612263098,0.003302497564216753,0.0,0.0,0.0,0.0,0.0,0.011850286106790963,0.0005008800000000004,0.012351166106790963,0.0018175317333333336,16384.0,0.00050088,
4,hpso05a,65000.0,64.0,15480000.0,0.6666666666666666,0.0025046159303111115,0.006043172612263098,0.003302497564216753,0.0,0.0,0.0,0.0,0.0,0.011850286106790963,2.7550000000070574e-07,0.011850561606790964,0.0018175317333333336,16384.0,,2.755e-07
0,hpso01,65000.0,64.0,18000000.0,5.0,0.010016531785955556,0.02112741812289514,0.00914493493251486,0.19810488903015946,0.051289540674027904,0.07808719615864373,0.19111645779753786,0.004634720100627538,0.04028888484136556,0.5232328037609963,0.563521688602362,0.007270126933333334,32768.0,,
1,hpso02a,65000.0,64.0,18000000.0,5.0,0.010016531785955556,0.02112741812289514,0.00914493493251486,0.105515787219763,0.051289540674027904,0.07808719615864373,0.19111645779753786,0.004634720100627538,0.04028888484136556,0.4306437019506001,0.47093258679196565,0.007270126933333334,32768.0,,
2,hpso02b,65000.0,64.0,18000000.0,5.0,0.010016531785955556,0.02112741812289514,0.00914493493251486,0.105515787219763,0.051289540674027904,0.07808719615864373,0.19111645779753786,0.004634720100627538,0.04028888484136556,0.4306437019506001,0.47093258679196565,0.007270126933333334,32768.0,,
3,hpso04a,65000.0,64.0,45900000.0,0.6666666666666666,0.005008265892977778,0.006043172612263098,0.003302497564216753,0.0,0.0,0.0,0.0,0.0,0.01435393606945763,0.0005008800000000004,0.01485481606945763,0.003635063466666667,32768.0,0.00050088,
4,hpso05a,65000.0,64.0,15480000.0,0.6666666666666666,0.005008265892977778,0.006043172612263098,0.003302497564216753,0.0,0.0,0.0,0.0,0.0,0.01435393606945763,2.7550000000070574e-07,0.01435421156945763,0.003635063466666667,32768.0,,2.755e-07
0,hpso01,65000.0,64.0,18000000.0,5.0,0.020031131636622224,0.02112741812289514,0.00914493493251486,0.19810488903015946,0.051289540674027904,0.07808719615864373,0.19111645779753786,0.004634720100627538,0.05030348469203223,0.5232328037609965,0.5735362884530287,0.014540253866666668,65536.0,,
1,hpso02a,65000.0,64.0,18000000.0,5.0,0.020031131636622224,0.02112741812289514,0.00914493493251486,0.105515787219763,0.051289540674027904,0.07808719615864373,0.19111645779753786,0.004634720100627538,0.05030348469203223,0.4306437019506001,0.4809471866426323,0.014540253866666668,65536.0,,
2,hpso02b,65000.0,64.0,18000000.0,5.0,0.020031131636622224,0.02112741812289514,0.00914493493251486,0.105515787219763,0.051289540674027904,0.07808719615864373,0.19111645779753786,0.004634720100627538,0.05030348469203223,0.4306437019506001,0.4809471866426323,0.014540253866666668,65536.0,,
3,hpso04a,65000.0,64.0,45900000.0,0.6666666666666666,0.010015565818311112,0.006043172612263098,0.003302497564216753,0.0,0.0,0.0,0.0,0.0,0.019361235994790962,0.0005008799999999987,0.01986211599479096,0.007270126933333334,65536.0,0.00050088,
4,hpso05a,65000.0,64.0,15480000.0,0.6666666666666666,0.010015565818311112,0.006043172612263098,0.003302497564216753,0.0,0.0,0.0,0.0,0.0,0.019361235994790962,2.7550000000070574e-07,0.019361511494790963,0.007270126933333334,65536.0,,2.755e-07
0,hpso01,65000.0,128.0,18000000.0,5.0,0.019882786028657777,0.05076463825349772,0.024042588133682253,0.46822806236421277,0.17674907134768486,0.21662189971711399,0.44333301416727666,0.016132998867626668,0.09469001241583774,1.3210650464639149,1.4157550588797525,0.01442840576,16384.0,,
1,hpso02a,65000.0,128.0,18000000.0,5.0,0.019882786028657777,0.05076463825349772,0.024042588133682253,0.324936760765094,0.17674907134768486,0.21662189971711399,0.44333301416727666,0.016132998867626668,0.09469001241583774,1.1777737448647962,1.2724637572806339,0.01442840576,16384.0,,
