Pipeline,hpso,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
FastImg,hpso04c,-1.0,0.028955400850339656,-1.0,-1.0,-1.0,0.0,0.00036950065501902045,4.278105111616477e-06,0.0,-1.0,4.323020447624503e-05,1.0227581077984124e-05,-1.0,4.09103243119365e-05,0.17207425093576056,-1.0,0.0014267475603787852,-1.0,-1.0,-1.0,0.028955400850339656,0.00036950065501902045,4.323020447624503e-05
FastImg_data,hpso04c,-1.0,2.8891430015167368,-1.0,-1.0,-1.0,0.0,0.0032085788337123575,0.0005480784024310528,0.0,-1.0,0.15620689049081796,0.06136548646790474,-1.0,0.06136548646790474,0.06136548646790474,-1.0,0.06136548646790474,-1.0,-1.0,-1.0,2.8890570015985744,6316.795185121576,0.15620689049081796
Ingest,hpso05b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,-1.0,-1.0,-1.0
Ingest_data,hpso05b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4382223798857142,0.43379589119999995,0.4382223798857142,0.4382223798857142,-1.0,-1.0,-1.0
RCAL,hpso05b,-1.0,0.0844410300164273,0.00860904679780637,0.0017218093595612737,-1.0,0.0495973302272,0.03609605459329583,0.00011819317441855313,0.0495973302272,-1.0,0.024943911159001703,7.22993152e-05,-1.0,0.0011567890432,0.6082010209133714,0.00144628435712,0.010085754470399997,-1.0,-1.0,-1.0,0.016888206003285458,0.03609605459329583,0.024943911159001703
RCAL_data,hpso05b,-1.0,1.3775011512637643,1.377447487649019,0.27548949752980384,-1.0,21.255998668799997,0.08864488081391486,0.011113176835337557,0.08864488081391486,-1.0,49.41729976533591,0.43379589119999995,-1.0,0.43379589119999995,0.43379589119999995,5.0432e-08,0.43379589119999995,-1.0,-1.0,-1.0,0.27548949752980384,614.2000255662614,49.41729976533591
FastImg,hpso05b,-1.0,0.028381670303510163,-1.0,-1.0,-1.0,0.0,0.001150434443237754,1.2204424483870182e-05,0.0,-1.0,0.0001311677319314034,2.9176873260306836e-05,-1.0,0.00011670749304122734,0.49088719733762193,-1.0,0.004070173819812803,-1.0,-1.0,-1.0,0.028381670303510163,0.001150434443237754,0.0001311677319314034
FastImg_data,hpso05b,-1.0,2.834339270153661,-1.0,-1.0,-1.0,0.0,0.009153318362902637,0.0005480784024310528,0.0,-1.0,0.5977785207790223,0.175061239561841,-1.0,0.175061239561841,0.175061239561841,-1.0,0.175061239561841,-1.0,-1.0,-1.0,2.8342540898127955,17678.500612587424,0.5977785207790223
Ingest,hpso18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,-1.0,-1.0,-1.0
Ingest_data,hpso18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4382223798857142,0.43379589119999995,0.4382223798857142,0.4382223798857142,-1.0,-1.0,-1.0
RCAL,hpso18,-1.0,0.0923540352713025,0.008341406297764633,0.0016682812595529264,-1.0,0.0495973302272,0.028766341965449277,7.216199398503653e-05,0.0495973302272,-1.0,0.022993553121011163,7.22993152e-05,-1.0,0.0011567890432,0.6082010209133714,0.00144628435712,0.010085754470399997,-1.0,-1.0,-1.0,0.018470807054260505,0.028766341965449277,0.022993553121011163
