Pipeline,hpso,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
FastImg,hpso04c,-1.0,1.4343267669724574e-05,-1.0,-1.0,-1.0,0.0,6.266601415309643e-06,1.5471253736556645e-07,0.0,-1.0,1.3475478429709372e-05,1.9339067170695807e-08,-1.0,7.735626868278323e-08,0.0006525841493407036,-1.0,2.6977998703120656e-06,-1.0,-1.0,-1.0,1.4343267669724574e-05,6.266601415309643e-06,1.3475478429709372e-05
FastImg_data,hpso04c,-1.0,0.002121472538018655,-1.0,-1.0,-1.0,0.0,0.00011603440302417487,0.00018481426442647133,0.0,-1.0,4.2034210604457763e-07,0.00011603440302417486,-1.0,0.00011603440302417486,0.00011603440302417486,-1.0,0.00011603440302417486,-1.0,-1.0,-1.0,0.002119143373568399,0.02663904761302799,4.2034210604457763e-07
Ingest,hpso05b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0002580179784912108,7.424977798308222e-06,3.715329163023436e-06,0.01507725325345611,-1.0,-1.0,-1.0
Ingest_data,hpso05b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.011137466697462333,0.010914099257934235,0.011137466697462333,0.011137466697462333,-1.0,-1.0,-1.0
RCAL,hpso05b,-1.0,0.00013246371554854555,4.385274730026515e-06,8.770549460053029e-07,-1.0,0.0,0.00011946618836412695,6.632925069511051e-07,0.0,-1.0,0.0002751477282381849,8.291156336888814e-08,-1.0,1.3265850139022102e-06,0.0013988981881603076,1.9562843873777627e-06,1.1566163089959896e-05,-1.0,-1.0,-1.0,2.6492743109709116e-05,0.00011946618836412695,0.0002751477282381849
RCAL_data,hpso05b,-1.0,0.000701816979371625,0.0007016439568042424,0.0001403287913608485,-1.0,0.0,0.0004974693802133289,0.00013322875070720497,0.0,-1.0,0.056746767560072416,0.0004974693802133288,-1.0,0.0004974693802133289,0.0004974693802133288,5.0432e-08,0.0004974693802133289,-1.0,-1.0,-1.0,0.0001403287913608485,0.010482195649150127,0.056746767560072416
FastImg,hpso05b,-1.0,1.4053265117314696e-05,-1.0,-1.0,-1.0,0.0,1.787751413723157e-05,4.413587702615474e-07,0.0,-1.0,3.8543145034205484e-05,5.516984628269342e-08,-1.0,2.206793851307737e-07,0.0018616703115961878,-1.0,7.696193556435733e-06,-1.0,-1.0,-1.0,1.4053265117314696e-05,1.787751413723157e-05,3.8543145034205484e-05
FastImg_data,hpso05b,-1.0,0.002081252024762855,-1.0,-1.0,-1.0,0.0,0.00033101907769616054,0.00018481426442647133,0.0,-1.0,1.5265481338084044e-06,0.00033101907769616054,-1.0,0.00033101907769616054,0.00033101907769616054,-1.0,0.00033101907769616054,-1.0,-1.0,-1.0,0.0020789450571977544,0.07455421558808958,1.5265481338084044e-06
Ingest,hpso13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00015582845888655432,4.484272198174225e-06,2.2449465463208217e-06,0.009107620885184096,-1.0,-1.0,-1.0
Ingest_data,hpso13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.006726408297261338,0.006591506830043287,0.006726408297261338,0.006726408297261338,-1.0,-1.0,-1.0
RCAL,hpso13,-1.0,9.846141115667742e-05,4.204010506026503e-06,8.408021012053007e-07,-1.0,0.0,4.0002746530427375e-05,1.9424946882794547e-07,0.0,-1.0,9.906781303110233e-05,2.4281183603493187e-08,-1.0,3.88498937655891e-07,0.0004096763149693566,7.836767920698638e-07,3.3872251126872995e-06,-1.0,-1.0,-1.0,1.9692282231335484e-05,4.0002746530427375e-05,9.906781303110233e-05
RCAL_data,hpso13,-1.0,0.0006728110898730613,0.0006726416809642407,0.0001345283361928481,-1.0,0.0,0.00014568710162095913,0.00013183013660086573,0.0,-1.0,0.06856414316713265,0.0001456871016209591,-1.0,0.00014568710162095913,0.0001456871016209591,5.0432e-08,0.00014568710162095913,-1.0,-1.0,-1.0,0.0001345283361928481,0.0029741271654390817,0.06856414316713265
FastImg,hpso13,-1.0,1.3434454840404588e-05,-1.0,-1.0,-1.0,0.0,5.291579628575922e-06,1.306261956709709e-07,0.0,-1.0,1.1473809793960448e-05,1.632827445887136e-08,-1.0,6.531309783548544e-08,0.0005509869221660459,-1.0,2.2777942870125553e-06,-1.0,-1.0,-1.0,1.3434454840404588e-05,5.291579628575922e-06,1.1473809793960448e-05
FastImg_data,hpso13,-1.0,0.001995271173493135,-1.0,-1.0,-1.0,0.0,9.796964675322819e-05,0.00018481426442647133,0.0,-1.0,9.74604770488462e-07,9.796964675322819e-05,-1.0,9.796964675322819e-05,9.796964675322819e-05,-1.0,9.796964675322819e-05,-1.0,-1.0,-1.0,0.0019930123880421936,0.021153779731303366,9.74604770488462e-07
