Pipeline,hpso,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
DPrepB,hpso01,-1.0,5.483955025723865e-05,1.9279255436832136e-06,4.819813859208033e-06,0.004103099977777778,0.0,0.000854908313934549,5.209679585280707e-06,0.0,0.0010258553246754313,0.0033385770923486575,5.758697051087264e-07,-1.0,0.0002764174584521886,0.010171300580726478,-1.0,8.033382386266731e-05,-1.0,-1.0,-1.0,0.0001370988756430966,0.000854908313934549,0.0033385770923486575
DPrepB_data,hpso01,-1.0,0.0003090061842955584,0.00030846808698931414,0.0007711702174732854,3.213209239472023e-05,0.0,0.00390725968896053,0.0051168410923182975,0.0,9.777777777777777e-09,0.44406603419632484,0.0034552182306523582,-1.0,0.0034552182306523587,0.0034552182306523582,-1.0,0.0034552182306523587,-1.0,-1.0,-1.0,0.0007711702174732854,0.0009438381108611049,0.44406603419632484
DPrepC,hpso01,-1.0,5.50080046970912e-05,1.9279255436832136e-06,1.4459441577624101e-05,0.012309299933333333,0.0,0.002099060332302811,1.2792102730795745e-05,0.0,0.003077565974026294,0.008142433333673735,2.7483583664970552e-06,-1.0,0.0013192120159185867,0.04854288878404897,-1.0,0.00038339599212633917,-1.0,-1.0,-1.0,0.000412560035228184,0.002099060332302811,0.008142433333673735
DPrepC_data,hpso01,-1.0,0.0003090061842955584,0.00030846808698931414,0.002313510652419856,9.639627718416068e-05,0.0,0.009594077048096809,0.0051168410923182975,0.0,2.933333333333333e-08,0.8556175612186278,0.01649015019898233,-1.0,0.01649015019898233,0.01649015019898233,-1.0,0.01649015019898233,-1.0,-1.0,-1.0,0.002313510652419856,0.002317546382216688,0.8556175612186278
DPrepD,hpso01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00720465655627004,-1.0,-1.0,0.002093853311665981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
DPrepD_data,hpso01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0900582069533755,-1.0,-1.0,0.0900582069533755,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ingest,hpso02a,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0003936331841155408,1.1327573643612687e-05,5.667408944470147e-06,0.023051540081770905,-1.0,-1.0,-1.0
Ingest_data,hpso02a,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.016991360465419027,0.016848932806881985,0.016991360465419027,0.016991360465419027,-1.0,-1.0,-1.0
RCAL,hpso02a,-1.0,0.00013285640060213224,1.2776888375864205e-06,2.555377675172841e-07,-1.0,0.0,0.00021623682575233727,1.2778264578935194e-06,0.0,-1.0,0.0008157607945608611,1.4124890666334898e-07,-1.0,6.779947519840751e-05,0.002494809283465694,6.851509973266979e-06,1.9704222479537183e-05,-1.0,-1.0,-1.0,2.657128012042645e-05,0.00021623682575233727,0.0008157607945608611
RCAL_data,hpso02a,-1.0,0.00020456229244354183,0.0002044302140138273,4.0886042802765456e-05,-1.0,0.0,0.0009583698434201395,0.0004651673720289362,0.0,-1.0,0.2614583588275452,0.0008474934399800939,-1.0,0.0008474934399800939,0.0008474934399800939,2.62144e-07,0.0008474934399800939,-1.0,-1.0,-1.0,4.0886042802765456e-05,0.001685813270382057,0.2614583588275452
FastImg,hpso02a,-1.0,3.5684705359384775e-06,-1.0,-1.0,-1.0,0.0,0.00018638242708974743,4.60010095325025e-06,0.0,-1.0,0.0005824233341275331,5.750126191562812e-07,-1.0,6.900151429875376e-05,0.020312324594484777,-1.0,8.021426037230124e-05,-1.0,-1.0,-1.0,3.5684705359384775e-06,0.00018638242708974743,0.0005824233341275331
FastImg_data,hpso02a,-1.0,0.0006074801983630891,-1.0,-1.0,-1.0,0.0,0.0034500757149376875,0.002325836860144681,0.0,-1.0,0.00022737852691115853,0.003450075714937688,-1.0,0.003450075714937688,0.003450075714937688,-1.0,0.003450075714937688,-1.0,-1.0,-1.0,0.0006057191526335625,0.0180223532922051,0.00022737852691115853
ICAL,hpso02a,-1.0,0.00037332080290693734,5.110755350345682e-06,1.0221510700691364e-06,0.00033570818,0.0,0.0012680630516093909,7.66857032985502e-06,0.0,8.392917448139598e-05,0.004862772056901641,8.476715817487635e-07,3e-12,0.0004068823592394065,0.014972002130375446,0.0003250015521418705,0.00011825018565395251,-1.0,-1.0,-1.0,7.466416058138749e-05,0.0012680630516093909,0.004862772056901641
ICAL_data,hpso02a,-1.0,0.0008185133266335961,0.0008177208560553091,0.0001635441712110618,8.517925583909468e-07,0.0,0.005751427747391266,0.004186506348260425,0.0,8e-10,0.7376319683239646,0.00508602949049258,1.44e-08,0.00508602949049258,0.00508602949049258,5.461333333333334e-06,0.00508602949049258,-1.0,-1.0,-1.0,0.0001635441712110618,0.004497898597828332,0.7376319683239646
DPrepA,hpso02a,-1.0,4.223072119367288e-05,9.639627718416068e-07,9.639627718416068e-07,2.0515499888888888e-05,0.0,0.0021242185053650625,2.6048397926403535e-06,0.0,1.0258553246754313e-05,0.0016566605260026745,2.879348525543632e-07,-1.0,0.0001382087292260943,0.010171300580726478,-1.0,4.016691193133366e-05,-1.0,-1.0,-1.0,4.223072119367288e-05,0.0021242185053650625,0.0016566605260026745
DPrepA_data,hpso02a,-1.0,0.0001545030921477792,0.00015423404349465707,0.00015423404349465707,3.2132092394720225e-07,0.0,0.009768149222401325,0.0025584205461591488,0.0,9.777777777777777e-11,0.08366975199080844,0.0017276091153261791,-1.0,0.0017276091153261793,0.0017276091153261791,-1.0,0.0017276091153261793,-1.0,-1.0,-1.0,0.00015423404349465707,0.0023595952771527625,0.08366975199080844
DPrepB,hpso02a,-1.0,5.483955025723865e-05,1.9279255436832136e-06,4.819813859208033e-06,0.004103099977777778,0.0,0.000854908313934549,5.209679585280707e-06,0.0,0.0010258553246754313,0.0033385770923486575,5.758697051087264e-07,-1.0,0.0002764174584521886,0.010171300580726478,-1.0,8.033382386266731e-05,-1.0,-1.0,-1.0,0.0001370988756430966,0.000854908313934549,0.0033385770923486575
DPrepB_data,hpso02a,-1.0,0.0003090061842955584,0.00030846808698931414,0.0007711702174732854,3.213209239472023e-05,0.0,0.00390725968896053,0.0051168410923182975,0.0,9.777777777777777e-09,0.44406603419632484,0.0034552182306523582,-1.0,0.0034552182306523587,0.0034552182306523582,-1.0,0.0034552182306523587,-1.0,-1.0,-1.0,0.0007711702174732854,0.0009438381108611049,0.44406603419632484
DPrepC,hpso02a,-1.0,5.50080046970912e-05,1.9279255436832136e-06,1.4459441577624101e-05,0.012309299933333333,0.0,0.002099060332302811,1.2792102730795745e-05,0.0,0.003077565974026294,0.008142433333673735,2.7483583664970552e-06,-1.0,0.0013192120159185867,0.04854288878404897,-1.0,0.00038339599212633917,-1.0,-1.0,-1.0,0.000412560035228184,0.002099060332302811,0.008142433333673735
DPrepC_data,hpso02a,-1.0,0.0003090061842955584,0.00030846808698931414,0.002313510652419856,9.639627718416068e-05,0.0,0.009594077048096809,0.0051168410923182975,0.0,2.933333333333333e-08,0.8556175612186278,0.01649015019898233,-1.0,0.01649015019898233,0.01649015019898233,-1.0,0.01649015019898233,-1.0,-1.0,-1.0,0.002313510652419856,0.002317546382216688,0.8556175612186278
DPrepD,hpso02a,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00720465655627004,-1.0,-1.0,0.002093853311665981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
DPrepD_data,hpso02a,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0900582069533755,-1.0,-1.0,0.0900582069533755,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ingest,hpso02b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0003936331841155408,1.1327573643612687e-05,5.667408944470147e-06,0.023051540081770905,-1.0,-1.0,-1.0
Ingest_data,hpso02b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.016991360465419027,0.016848932806881985,0.016991360465419027,0.016991360465419027,-1.0,-1.0,-1.0
RCAL,hpso02b,-1.0,0.00013285640060213224,1.2776888375864205e-06,2.555377675172841e-07,-1.0,0.0,0.00021623682575233727,1.2778264578935194e-06,0.0,-1.0,0.0008157607945608611,1.4124890666334898e-07,-1.0,6.779947519840751e-05,0.002494809283465694,6.851509973266979e-06,1.9704222479537183e-05,-1.0,-1.0,-1.0,2.657128012042645e-05,0.00021623682575233727,0.0008157607945608611
RCAL_data,hpso02b,-1.0,0.00020456229244354183,0.0002044302140138273,4.0886042802765456e-05,-1.0,0.0,0.0009583698434201395,0.0004651673720289362,0.0,-1.0,0.2614583588275452,0.0008474934399800939,-1.0,0.0008474934399800939,0.0008474934399800939,2.62144e-07,0.0008474934399800939,-1.0,-1.0,-1.0,4.0886042802765456e-05,0.001685813270382057,0.2614583588275452
FastImg,hpso02b,-1.0,3.5684705359384775e-06,-1.0,-1.0,-1.0,0.0,0.00018638242708974743,4.60010095325025e-06,0.0,-1.0,0.0005824233341275331,5.750126191562812e-07,-1.0,6.900151429875376e-05,0.020312324594484777,-1.0,8.021426037230124e-05,-1.0,-1.0,-1.0,3.5684705359384775e-06,0.00018638242708974743,0.0005824233341275331
FastImg_data,hpso02b,-1.0,0.0006074801983630891,-1.0,-1.0,-1.0,0.0,0.0034500757149376875,0.002325836860144681,0.0,-1.0,0.00022737852691115853,0.003450075714937688,-1.0,0.003450075714937688,0.003450075714937688,-1.0,0.003450075714937688,-1.0,-1.0,-1.0,0.0006057191526335625,0.0180223532922051,0.00022737852691115853
ICAL,hpso02b,-1.0,0.00037332080290693734,5.110755350345682e-06,1.0221510700691364e-06,0.00033570818,0.0,0.0012680630516093909,7.66857032985502e-06,0.0,8.392917448139598e-05,0.004862772056901641,8.476715817487635e-07,3e-12,0.0004068823592394065,0.014972002130375446,0.0003250015521418705,0.00011825018565395251,-1.0,-1.0,-1.0,7.466416058138749e-05,0.0012680630516093909,0.004862772056901641
ICAL_data,hpso02b,-1.0,0.0008185133266335961,0.0008177208560553091,0.0001635441712110618,8.517925583909468e-07,0.0,0.005751427747391266,0.004186506348260425,0.0,8e-10,0.7376319683239646,0.00508602949049258,1.44e-08,0.00508602949049258,0.00508602949049258,5.461333333333334e-06,0.00508602949049258,-1.0,-1.0,-1.0,0.0001635441712110618,0.004497898597828332,0.7376319683239646
DPrepA,hpso02b,-1.0,4.223072119367288e-05,9.639627718416068e-07,9.639627718416068e-07,2.0515499888888888e-05,0.0,0.0021242185053650625,2.6048397926403535e-06,0.0,1.0258553246754313e-05,0.0016566605260026745,2.879348525543632e-07,-1.0,0.0001382087292260943,0.010171300580726478,-1.0,4.016691193133366e-05,-1.0,-1.0,-1.0,4.223072119367288e-05,0.0021242185053650625,0.0016566605260026745
DPrepA_data,hpso02b,-1.0,0.0001545030921477792,0.00015423404349465707,0.00015423404349465707,3.2132092394720225e-07,0.0,0.009768149222401325,0.0025584205461591488,0.0,9.777777777777777e-11,0.08366975199080844,0.0017276091153261791,-1.0,0.0017276091153261793,0.0017276091153261791,-1.0,0.0017276091153261793,-1.0,-1.0,-1.0,0.00015423404349465707,0.0023595952771527625,0.08366975199080844
DPrepB,hpso02b,-1.0,5.483955025723865e-05,1.9279255436832136e-06,4.819813859208033e-06,0.004103099977777778,0.0,0.000854908313934549,5.209679585280707e-06,0.0,0.0010258553246754313,0.0033385770923486575,5.758697051087264e-07,-1.0,0.0002764174584521886,0.010171300580726478,-1.0,8.033382386266731e-05,-1.0,-1.0,-1.0,0.0001370988756430966,0.000854908313934549,0.0033385770923486575
DPrepB_data,hpso02b,-1.0,0.0003090061842955584,0.00030846808698931414,0.0007711702174732854,3.213209239472023e-05,0.0,0.00390725968896053,0.0051168410923182975,0.0,9.777777777777777e-09,0.44406603419632484,0.0034552182306523582,-1.0,0.0034552182306523587,0.0034552182306523582,-1.0,0.0034552182306523587,-1.0,-1.0,-1.0,0.0007711702174732854,0.0009438381108611049,0.44406603419632484
DPrepC,hpso02b,-1.0,5.50080046970912e-05,1.9279255436832136e-06,1.4459441577624101e-05,0.012309299933333333,0.0,0.002099060332302811,1.2792102730795745e-05,0.0,0.003077565974026294,0.008142433333673735,2.7483583664970552e-06,-1.0,0.0013192120159185867,0.04854288878404897,-1.0,0.00038339599212633917,-1.0,-1.0,-1.0,0.000412560035228184,0.002099060332302811,0.008142433333673735
DPrepC_data,hpso02b,-1.0,0.0003090061842955584,0.00030846808698931414,0.002313510652419856,9.639627718416068e-05,0.0,0.009594077048096809,0.0051168410923182975,0.0,2.933333333333333e-08,0.8556175612186278,0.01649015019898233,-1.0,0.01649015019898233,0.01649015019898233,-1.0,0.01649015019898233,-1.0,-1.0,-1.0,0.002313510652419856,0.002317546382216688,0.8556175612186278
DPrepD,hpso02b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00720465655627004,-1.0,-1.0,0.002093853311665981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
DPrepD_data,hpso02b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0900582069533755,-1.0,-1.0,0.0900582069533755,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ingest,hpso04a,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00039465278176309637,1.1356914583110687e-05,5.680273043939596e-06,0.023082819396333273,-1.0,-1.0,-1.0
Ingest_data,hpso04a,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01703537187466603,0.01689257529676078,0.01703537187466603,0.01703537187466603,-1.0,-1.0,-1.0
RCAL,hpso04a,-1.0,3.087228127700758e-05,6.454891777596859e-07,1.2909783555193717e-07,-1.0,0.0,6.557388132512414e-05,3.9151240470802756e-07,0.0,-1.0,0.0002466793865955031,4.338925673297453e-08,-1.0,2.0826843231827774e-05,0.0007663628912760227,2.8810510546594905e-06,6.052801314249947e-06,-1.0,-1.0,-1.0,6.174456255401516e-06,6.557388132512414e-05,0.0002466793865955031
RCAL_data,hpso04a,-1.0,0.0001033446502120406,0.00010327826844154972,2.0655653688309945e-05,-1.0,0.0,0.0002936343035310207,0.0002325836860144681,0.0,-1.0,0.0526626396240977,0.0002603355403978471,-1.0,0.0002603355403978471,0.0002603355403978471,1.31072e-07,0.0002603355403978471,-1.0,-1.0,-1.0,2.0655653688309945e-05,0.0005218858623950403,0.0526626396240977
FastImg,hpso04a,-1.0,1.804261106222389e-06,-1.0,-1.0,-1.0,0.0,5.708724718980262e-05,1.4094212985511677e-06,0.0,-1.0,0.0001782629986856022,1.7617766231889596e-07,-1.0,2.1141319478267513e-05,0.006223477092676345,-1.0,2.4576783893485984e-05,-1.0,-1.0,-1.0,1.804261106222389e-06,5.708724718980262e-05,0.0001782629986856022
FastImg_data,hpso04a,-1.0,0.00030689477454447033,-1.0,-1.0,-1.0,0.0,0.0010570659739133758,0.0011629184300723406,0.0,-1.0,8.007691397651452e-06,0.0010570659739133758,-1.0,0.0010570659739133758,0.0010570659739133758,-1.0,0.0010570659739133758,-1.0,-1.0,-1.0,0.00030600968427125835,0.0055792051334605875,8.007691397651452e-06
Ingest,hpso05a,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00039465278176309637,1.1356914583110687e-05,5.680273043939596e-06,0.023082819396333273,-1.0,-1.0,-1.0
Ingest_data,hpso05a,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01703537187466603,0.01689257529676078,0.01703537187466603,0.01703537187466603,-1.0,-1.0,-1.0
RCAL,hpso05a,-1.0,3.087228127700758e-05,6.454891777596859e-07,1.2909783555193717e-07,-1.0,0.0,6.557388132512414e-05,3.9151240470802756e-07,0.0,-1.0,0.0002466793865955031,4.338925673297453e-08,-1.0,2.0826843231827774e-05,0.0007663628912760227,2.8810510546594905e-06,6.052801314249947e-06,-1.0,-1.0,-1.0,6.174456255401516e-06,6.557388132512414e-05,0.0002466793865955031
RCAL_data,hpso05a,-1.0,0.0001033446502120406,0.00010327826844154972,2.0655653688309945e-05,-1.0,0.0,0.0002936343035310207,0.0002325836860144681,0.0,-1.0,0.0526626396240977,0.0002603355403978471,-1.0,0.0002603355403978471,0.0002603355403978471,1.31072e-07,0.0002603355403978471,-1.0,-1.0,-1.0,2.0655653688309945e-05,0.0005218858623950403,0.0526626396240977
FastImg,hpso05a,-1.0,1.804261106222389e-06,-1.0,-1.0,-1.0,0.0,5.708724718980262e-05,1.4094212985511677e-06,0.0,-1.0,0.0001782629986856022,1.7617766231889596e-07,-1.0,2.1141319478267513e-05,0.006223477092676345,-1.0,2.4576783893485984e-05,-1.0,-1.0,-1.0,1.804261106222389e-06,5.708724718980262e-05,0.0001782629986856022
FastImg_data,hpso05a,-1.0,0.00030689477454447033,-1.0,-1.0,-1.0,0.0,0.0010570659739133758,0.0011629184300723406,0.0,-1.0,8.007691397651452e-06,0.0010570659739133758,-1.0,0.0010570659739133758,0.0010570659739133758,-1.0,0.0010570659739133758,-1.0,-1.0,-1.0,0.00030600968427125835,0.0055792051334605875,8.007691397651452e-06
