,hpso,Image Spectral Fitting ,IFFT,Reprojection Predict,Reprojection,Subtract Image Component ,Phase Rotation Predict ,Degrid,Visibility Weighting ,Phase Rotation ,Identify Component ,Gridding Kernel Update ,Subtract Visibility ,Source Find ,Correct ,DFT ,Solv,Flag ,Average,Receive,Demix,FFT,Grid ,Degridding Kernel Update
DPrepA,hpso14,,0.001424057697735,0.000129783422068,0.000129783422068,1.28221874305556e-06,0.0,0.002262312379669,1.97271429089936e-06,0.0,6.54628477993219e-07,0.000655599903664,3.81348979071835e-06,,6.10158366514935e-05,0.079488770257473,,0.000531981825805,,,,0.001424057697735,0.002262312379669,0.000655599903664
DPrepB,hpso14,,0.000825229548963,0.000129783422068,0.000194675133102,0.000384665622917,0.0,0.000613608954005,1.97271429089936e-06,0.0,0.000196388543398,0.000989511416057,3.81348979071835e-06,,6.10158366514935e-05,0.079488770257473,,0.000531981825805,,,,0.001237844323445,0.000613608954005,0.000989511416057
DPrepC,hpso14,,0.000302987887098,9.63315530428363e-05,0.002408288826071,0.006411093715278,0.0,0.004988956922018,1.30967738591767e-05,0.0,0.003255719541515,0.002104495765861,1.29764101179158e-05,,0.000207622561887,0.270481616376757,,0.001810209211449,,,,0.007574697177448,0.004988956922018,0.002104495765861
FastImg,hpso14,,0.000686178306668,,,,0.0,1.24123363111934e-05,3.00740139239617e-07,0.0,,1.35745447760033e-05,5.8137187301549e-07,,2.32548749206196e-06,0.012118174633839,,8.11013762856609e-05,,,,0.000686178306668,1.24123363111934e-05,1.35745447760033e-05
ICAL,hpso14,,0.005847910468823,0.000990846873821,0.000198169374764,2.098176125e-05,0.001415261830333,0.003129514086982,1.42135476949417e-05,0.001415261830333,4.72605694205115e-05,0.006189911928073,1.12322367486706e-05,1.875e-12,0.000179715787979,0.117062944362104,,0.00156689702644,,,,0.001169582093765,0.003129514086982,0.006189911928073
Ingest,hpso14,,,,,,,,,,,,,,,,,0.002573328941943,7.40526314228144e-05,3.70439488174781e-05,0.150334148576089,,,
RCAL,hpso14,,0.001299308221142,0.000247711718455,4.95423436910363e-05,,0.000655208363671,0.000685565712428,3.2601592400435e-06,0.000655208363671,,0.001586615833513,1.87202389620269e-06,,2.9952382339243e-05,0.019510328540007,,0.00026114733352,,,,0.000259861644228,0.000685565712428,0.001586615833513
DPrepA,hpso15,,0.000338037103425,4.30590246401106e-05,4.30590246401106e-05,2.33130680555556e-06,0.0,0.000653796741099,6.45400836142284e-07,0.0,1.17380852108083e-06,0.000340217624042,9.92471488730248e-07,,1.5879543819684e-05,0.022446408269616,,0.000138449772678,,,,0.000338037103425,0.000653796741099,0.000340217624042
DPrepB,hpso15,,0.000251427467611,4.30590246401106e-05,5.59767320321437e-05,0.000606139769444,0.0,0.000145474806979,6.45400836142284e-07,0.0,0.000305190215481,0.000393658635473,9.92471488730248e-07,,1.5879543819684e-05,0.022446408269616,,0.000138449772678,,,,0.000326855707894,0.000145474806979,0.000393658635473
DPrepC,hpso15,,7.5069528469488e-05,3.03262384173387e-05,0.000379077980217,0.005828267013889,0.0,0.001231055398184,4.44602654322782e-06,0.0,0.002928492521347,0.001409483510728,3.4695013424847e-06,,5.55120214797552e-05,0.078468595329653,,0.000483995437277,,,,0.000938369105869,0.001231055398184,0.001409483510728
FastImg,hpso15,,0.000214199185866,,,,0.0,3.99491223031917e-06,9.83898977541857e-08,0.0,,8.74182403882148e-06,1.51302587529365e-07,,6.05210350117459e-07,0.003421961930895,,2.11067109603464e-05,,,,0.000214199185866,3.99491223031917e-06,8.74182403882148e-06
ICAL,hpso15,,0.003408487859436,0.000228291119728,4.56582239456591e-05,3.81486568181818e-05,0.0,0.000979425867277,3.74761268361272e-06,0.0,9.55878268179245e-06,0.001741543788883,2.92318045827137e-06,3.40909090909091e-12,4.67708873323419e-05,0.033056315852493,,0.000407783673929,,,,0.000681697571887,0.000979425867277,0.001741543788883
Ingest,hpso15,,,,,,,,,,,,,,,,,0.001395716991848,4.01645177510268e-05,2.00926249825024e-05,0.081540712304059,,,
RCAL,hpso15,,0.000276538724997,8.21848031021863e-05,1.64369606204373e-05,,0.000170516448929,0.000220947453433,1.12995254253953e-06,0.000170516448929,,0.000754437499599,4.87189854084155e-07,,7.79503766534648e-06,0.005509308072708,,6.79629846447397e-05,,,,5.53077449994898e-05,0.000220947453433,0.000754437499599
FastImg,hpso18,,0.02746023214865,,,,0.0,0.001080286584423,7.04140560339929e-06,0.0,,9.61392189570057e-05,1.78156306494007e-05,,7.12625225976028e-05,0.29973962323729,,0.002485280475591,,,,0.02746023214865,0.001080286584423,9.61392189570057e-05
Ingest,hpso18,,,,,,,,,,,,,,,,,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,,,
RCAL,hpso18,,0.092354031937508,0.008341406297765,0.001668281259553,,0.0495973302272,0.028766342886005,7.21619939850365e-05,0.0495973302272,,0.022993554200733,7.22993152e-05,,0.0011567890432,0.608201020913371,,0.0100857544704,,,,0.018470806387502,0.028766342886005,0.022993554200733
DPrepA,hpso22,,0.037935545120394,0.004485315066678,0.004485315066678,2.56443748611111e-06,0.0,0.069970164407186,5.51460857124883e-05,0.0,2.21665938194684e-06,0.001873513467761,0.000162743696542,,0.002603899144673,2.7380863044215,,0.022702745667615,,,,0.037935545120394,0.069970164407186,0.001873513467761
