Pipeline,hpso,Average,Correct,DFT,Degrid,Degridding Kernel Update,Demix,FFT,Flag,Grid,Gridding Kernel Update,IFFT,Identify Component,Image Spectral Fitting,Phase Rotation,Phase Rotation Predict,Receive,Reprojection,Reprojection Predict,Solve,Source Find,Subtract Image Component,Subtract Visibility,Visibility Weighting
ICAL,hpso02a,-1.0,0.176562783681007,3.00813515867589,0.099531734992268,0.098214444859976,-1.0,0.045895331814959,0.051313559007293,0.099531734992268,0.098214444859976,0.229476659074792,8.44721922373702e-05,-1.0,0.0,0.0,-1.0,0.000261670673938,0.001308353369689,0.104713683816893,3e-12,0.00033570818,0.000367839132669,0.000390604561115
DPrepA,hpso02a,-1.0,0.059946046291823,2.04262535642661,0.066153257543218,0.025046675626327,-1.0,0.025527666760211,0.017421819703561,0.066153257543218,0.025046675626327,0.025527666760211,1.04633953357707e-05,-1.0,0.0,0.0,-1.0,0.000246774469591,0.000246774469591,-1.0,-1.0,2.05154998888889e-05,0.000124887596441,6.81752389086386e-05
DPrepB,hpso02a,-1.0,0.119892092583647,2.04262535642661,0.031270291820009,0.063823340536245,-1.0,0.077980141263491,0.034843639407122,0.031270291820009,0.063823340536245,0.031192056505396,0.001046339533577,-1.0,0.0,0.0,-1.0,0.001233872347957,0.000493548939183,-1.0,-1.0,0.004103099977778,0.000249775192883,0.000136350477817
DPrepC,hpso02a,-1.0,0.233020310036393,3.97001323094473,0.115305533634483,0.155993757456281,-1.0,0.252161205015543,0.067721527604327,0.115305533634483,0.155993757456281,0.033621494002072,0.003139018600731,-1.0,0.0,0.0,-1.0,0.003701617043872,0.000493548939183,-1.0,-1.0,0.012309299933333,0.000485458979242,0.000519055627959
DPrepD,hpso02a,-1.0,0.233020310036393,-1.0,-1.0,-1.0,-1.0,-1.0,0.067721527604327,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ingest,hpso02b,0.00030601641984,-1.0,-1.0,-1.0,-1.0,0.62133495250944,-1.0,0.01063407058944,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.000153053721031,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RCAL,hpso02b,-1.0,0.029426743743081,0.501349268591246,0.031017128022771,0.021201572116053,-1.0,0.017084251513532,0.008552147400333,0.031017128022771,0.021201572116053,0.085421257567659,-1.0,-1.0,0.0,0.0,-1.0,6.54176684844247e-05,0.000327088342422,0.001230140854468,-1.0,-1.0,6.13057161314185e-05,8.9846146884925e-05
FastImg,hpso02b,-1.0,0.002647958068595,0.360910293722248,0.001568842390161,0.001823304215856,-1.0,0.001830706914862,0.003078251254742,0.001568842390161,0.001823304215856,0.001830706914862,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.20663172382948e-05,2.34719885147783e-05
ICAL,hpso02b,-1.0,0.176562783681007,3.00813515867589,0.099531734992268,0.098214444859976,-1.0,0.045895331814959,0.051313559007293,0.099531734992268,0.098214444859976,0.229476659074792,8.44721922373702e-05,-1.0,0.0,0.0,-1.0,0.000261670673938,0.001308353369689,0.104713683816893,3e-12,0.00033570818,0.000367839132669,0.000390604561115
DPrepA,hpso02b,-1.0,0.059946046291823,2.04262535642661,0.066153257543218,0.025046675626327,-1.0,0.025527666760211,0.017421819703561,0.066153257543218,0.025046675626327,0.025527666760211,1.04633953357707e-05,-1.0,0.0,0.0,-1.0,0.000246774469591,0.000246774469591,-1.0,-1.0,2.05154998888889e-05,0.000124887596441,6.81752389086386e-05
DPrepB,hpso02b,-1.0,0.119892092583647,2.04262535642661,0.031270291820009,0.063823340536245,-1.0,0.077980141263491,0.034843639407122,0.031270291820009,0.063823340536245,0.031192056505396,0.001046339533577,-1.0,0.0,0.0,-1.0,0.001233872347957,0.000493548939183,-1.0,-1.0,0.004103099977778,0.000249775192883,0.000136350477817
DPrepC,hpso02b,-1.0,0.233020310036393,3.97001323094473,0.115305533634483,0.155993757456281,-1.0,0.252161205015543,0.067721527604327,0.115305533634483,0.155993757456281,0.033621494002072,0.003139018600731,-1.0,0.0,0.0,-1.0,0.003701617043872,0.000493548939183,-1.0,-1.0,0.012309299933333,0.000485458979242,0.000519055627959
DPrepD,hpso02b,-1.0,0.233020310036393,-1.0,-1.0,-1.0,-1.0,-1.0,0.067721527604327,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ingest,hpso04a,0.00030601641984,-1.0,-1.0,-1.0,-1.0,0.62127414239232,-1.0,0.01063407058944,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.000153030965476,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RCAL,hpso04a,-1.0,0.009016049766112,0.153608227783792,0.008369253050967,0.005318788025777,-1.0,0.003914891775452,0.002620289463276,0.008369253050967,0.005318788025777,0.019574458877262,-1.0,-1.0,0.0,0.0,-1.0,3.30490459012959e-05,0.000165245229506,0.000377682006175,-1.0,-1.0,1.87834370127329e-05,2.75279277316336e-05
FastImg,hpso04a,-1.0,0.000811306928909,0.11057917626571,0.000362253929743,0.000399985691383,-1.0,0.000657726866775,0.000943144304857,0.000362253929743,0.000399985691383,0.000657726866775,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.76089107424108e-06,7.19157354481205e-06
Ingest,hpso05a,0.00030601641984,-1.0,-1.0,-1.0,-1.0,0.62127414239232,-1.0,0.01063407058944,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.000153030965476,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RCAL,hpso05a,-1.0,0.009016049766112,0.153608227783792,0.008369253050967,0.005318788025777,-1.0,0.003914891775452,0.002620289463276,0.008369253050967,0.005318788025777,0.019574458877262,-1.0,-1.0,0.0,0.0,-1.0,3.30490459012959e-05,0.000165245229506,0.000377682006175,-1.0,-1.0,1.87834370127329e-05,2.75279277316336e-05
FastImg,hpso05a,-1.0,0.000811306928909,0.11057917626571,0.000362253929743,0.000399985691383,-1.0,0.000657726866775,0.000943144304857,0.000362253929743,0.000399985691383,0.000657726866775,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.76089107424108e-06,7.19157354481205e-06
